week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,popularity
29-05-16,1,28706805.95,Jersey Boys,August Wilson Theatre,539847,1151143,90.49,199,5966,1228,0.6073,8,0,good
20-01-19,34,31699189.77,The Phantom of the Opera,Majestic Theatre,682194.28,1347562,87.2,213,7823,1605,0.6093,8,0,good
14-08-16,12,24414933.15,Jersey Boys,August Wilson Theatre,530413,1151143,88.53,199,5991,1228,0.6098,8,0,good
16-06-19,3,34493610.47,Pretty Woman: The Musical,Nederlander Theatre,550957,1365328,96.51,275,5709,1168,0.611,8,0,good
06-05-18,50,36994026.79,School of Rock - The Musical,Winter Garden Theatre,626137.72,1443688,83.78,248,7474,1523,0.6134,8,0,good
21-08-16,13,23009994.04,Something Rotten!,St. James Theatre,526381,1277720,79.9,277,6588,1341,0.6141,8,0,good
11-09-16,16,20154528.12,Something Rotten!,St. James Theatre,524944.5,1277720,79.59,277,6596,1341,0.6148,8,0,good
10-09-17,16,23606589.82,School of Rock - The Musical,Winter Garden Theatre,616581.2,1445048,82.28,248,7494,1523,0.6151,8,0,good
01-05-16,49,28331921.81,Finding Neverland,Lunt-Fontanne Theatre,583983.5,1476000,78.73,225,7418,1504,0.6165,8,0,good
18-11-18,25,36501888.28,The Play That Goes Wrong,Lyceum Theatre,251431.5,677688,59.65,197,4215,854,0.6169,8,0,good
31-01-16,36,23617252.17,The Phantom of the Opera,Majestic Theatre,599766.43,1514575,75.71,200,7922,1605,0.617,8,0,good
16-09-18,16,28771784.4,School of Rock - The Musical,Winter Garden Theatre,554869.42,1443688,73.79,223,7520,1523,0.6172,8,0,good
15-05-16,51,26269814.35,Jersey Boys,August Wilson Theatre,570231.5,1151143,93.96,199,6069,1228,0.6178,8,0,good
01-10-17,19,23206323.74,School of Rock - The Musical,Winter Garden Theatre,603839,1445048,80.07,248,7541,1523,0.6189,8,0,good
01-05-16,49,28331921.81,Jersey Boys,August Wilson Theatre,553984.15,1151143,90.83,199,6099,1228,0.6208,8,0,good
12-06-16,3,28477729.82,Jersey Boys,August Wilson Theatre,540996.07,1151143,88.21,199,6133,1228,0.6243,8,0,good
17-04-16,47,27177086.08,Blackbird,Belasco Theatre,414555.5,892260,81.86,248,5064,1014,0.6243,8,0,good
04-09-16,15,23361024.99,Jersey Boys,August Wilson Theatre,538955,1151143,87.85,199,6135,1228,0.6245,8,0,good
09-10-16,20,25903635.94,Something Rotten!,St. James Theatre,634005.5,1348880,86.45,277,7334,1463,0.6265,8,0,good
30-09-18,18,29521717.1,School of Rock - The Musical,Winter Garden Theatre,571549,1443688,74.77,223,7644,1523,0.6274,8,0,good
28-02-16,40,20011009.78,Matilda The Musical,Sam S. Shubert Theatre,528382.17,1327753,73.16,250,7222,1432,0.6304,8,0,good
10-07-16,7,24862657.43,Finding Neverland,Lunt-Fontanne Theatre,563513,1476000,74.25,225,7589,1504,0.6307,8,0,good
16-06-19,3,34493610.47,Waitress,Brooks Atkinson Theatre,446358.5,1019480,84.43,270,5287,1045,0.6324,8,0,good
04-02-18,37,24869631.68,School of Rock - The Musical,Winter Garden Theatre,569912.92,1443688,73.93,248,7709,1523,0.6327,8,0,good
09-06-19,2,35439598.96,Waitress,Brooks Atkinson Theatre,455702,1019480,86.14,270,5290,1045,0.6328,8,0,good
24-11-19,26,32015928.6,The Phantom of the Opera,Majestic Theatre,716752.5,1358986,87.72,213,8171,1605,0.6364,8,0,good
31-07-16,10,25496118,Jersey Boys,August Wilson Theatre,548113,1151143,87.57,199,6259,1228,0.6371,8,0,good
11-03-18,42,29425481.36,The Play That Goes Wrong,Lyceum Theatre,303968,677688,69.59,197,4368,854,0.6393,8,0,good
24-01-16,35,15977957.72,Misery,Broadhurst Theatre,391901.05,910996,86.84,297,4513,1176,0.6396,6,0,good
24-04-16,48,27121277.4,Blackbird,Belasco Theatre,371241.36,892260,71.48,248,5194,1014,0.6403,8,0,good
12-02-17,38,19809375.55,School of Rock - The Musical,Winter Garden Theatre,643622.5,1475448,82.46,248,7805,1523,0.6406,8,0,good
03-03-19,40,27159271.45,The Phantom of the Opera,Majestic Theatre,645804.56,1347562,78.42,213,8235,1605,0.6414,8,0,good
07-02-16,37,21024819.67,The Phantom of the Opera,Majestic Theatre,618591.09,1514575,74.99,200,8249,1605,0.6424,8,0,good
14-10-18,20,33387818.47,School of Rock - The Musical,Winter Garden Theatre,672027,1443688,85.79,223,7833,1523,0.6429,8,0,good
24-01-16,35,15977957.72,Matilda The Musical,Sam S. Shubert Theatre,368576,989061,66.61,250,5533,1432,0.644,6,0,good
28-02-16,40,20011009.78,She Loves Me,Studio 54,337093.2,899784,64.8,NA,5202,1008,0.6451,0,8,good
10-04-16,46,26894099.17,Finding Neverland,Lunt-Fontanne Theatre,610077,1476000,78.32,225,7790,1504,0.6474,8,0,good
19-06-16,4,28229255.81,Something Rotten!,St. James Theatre,643100.5,1348880,84.79,277,7585,1463,0.648,8,0,good
24-07-16,9,26582154.47,Jersey Boys,August Wilson Theatre,521576,1151143,81.7,199,6384,1228,0.6498,8,0,good
02-09-18,14,32089527.57,School of Rock - The Musical,Winter Garden Theatre,715963,1443688,90.4,223,7920,1523,0.65,8,0,good
13-03-16,42,23719997.68,Jersey Boys,August Wilson Theatre,564024.57,1151143,88.31,199,6387,1228,0.6501,8,0,good
18-11-18,25,36501888.28,School of Rock - The Musical,Winter Garden Theatre,692045.5,1443688,87.36,223,7922,1523,0.6502,8,0,good
03-07-16,6,26033648.79,Jersey Boys,August Wilson Theatre,540597,1151143,84.55,199,6394,1228,0.6509,8,0,good
31-01-16,36,23617252.17,Jersey Boys,August Wilson Theatre,571964.2,1151143,89.37,199,6400,1228,0.6515,8,0,good
09-09-18,15,29524979.46,The Play That Goes Wrong,Lyceum Theatre,278953,677688,62.63,197,4454,854,0.6519,8,0,good
09-07-17,7,29082683.33,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,569780.39,1077050,106.42,249,5354,1026,0.6523,8,0,good
13-01-19,33,31937248.07,The Phantom of the Opera,Majestic Theatre,705017.98,1347562,84.08,213,8385,1605,0.653,8,0,good
04-03-18,41,26316392.79,The Play That Goes Wrong,Lyceum Theatre,249413.5,677688,55.9,197,4462,854,0.6531,8,0,good
19-06-16,4,28229255.81,Finding Neverland,Lunt-Fontanne Theatre,591699.5,1476000,75.24,225,7864,1504,0.6536,8,0,good
24-01-16,35,15977957.72,Something Rotten!,St. James Theatre,427881.5,1005730,75.21,277,5689,1450,0.6541,6,0,good
25-09-16,18,22165298.69,Something Rotten!,St. James Theatre,526414,1301440,72.8,277,7231,1382,0.6542,8,0,good
14-02-16,38,25713384.94,Finding Neverland,Lunt-Fontanne Theatre,841121.5,1814520,94.91,225,8862,1504,0.6547,9,0,good
25-09-16,18,22165298.69,Jersey Boys,August Wilson Theatre,606097,1151143,94.17,199,6436,1228,0.6551,8,0,good
21-01-18,35,27685184.24,School of Rock - The Musical,Winter Garden Theatre,670746,1443688,83.92,248,7993,1523,0.656,8,0,good
26-08-18,13,33662782.2,School of Rock - The Musical,Winter Garden Theatre,716157.58,1443688,89.56,223,7996,1523,0.6563,8,0,good
14-02-16,38,25713384.94,Jersey Boys,August Wilson Theatre,595521.5,1151143,92.36,199,6448,1228,0.6564,8,0,good
04-11-18,23,33078711.53,School of Rock - The Musical,Winter Garden Theatre,663759,1443688,82.99,223,7998,1523,0.6564,8,0,good
17-07-16,8,27125138.45,Jersey Boys,August Wilson Theatre,542904,1151143,84.15,199,6452,1228,0.6568,8,0,good
03-12-17,28,29983150.22,The Play That Goes Wrong,Lyceum Theatre,380965.5,677688,84.66,213,4500,854,0.6587,8,0,good
06-01-19,32,37530273.1,Waitress,Brooks Atkinson Theatre,539472,1019480,97.91,270,5510,1045,0.6591,8,0,good
22-05-16,52,28842985.58,Jersey Boys,Studio 54,584273,1151143,90,199,6492,1228,0.6608,8,0,good
06-03-16,41,20679970.73,Matilda The Musical,Sam S. Shubert Theatre,546267.69,1327753,72.11,250,7576,1432,0.6613,8,0,good
17-04-16,47,27177086.08,Finding Neverland,Lunt-Fontanne Theatre,571983,1476000,71.83,225,7963,1504,0.6618,8,0,good
05-06-16,2,27019162.62,Something Rotten!,St. James Theatre,628039.75,1348880,80.89,277,7764,1463,0.6632,8,0,good
02-12-18,27,37805785.34,The Play That Goes Wrong,Lyceum Theatre,283366.46,677688,62.5,197,4534,854,0.6636,8,0,good
30-06-19,5,35938539.43,Pretty Woman: The Musical,Nederlander Theatre,538552,1365328,86.81,275,6204,1168,0.664,8,0,good
04-02-18,37,24869631.68,The Play That Goes Wrong,Lyceum Theatre,295910.5,677688,64.95,197,4556,854,0.6669,8,0,good
02-10-16,19,22824768.82,Something Rotten!,St. James Theatre,524757.5,1301440,71.13,277,7377,1382,0.6674,8,0,good
12-06-16,3,28477729.82,Something Rotten!,St. James Theatre,674213,1388900,81.72,277,8250,1545,0.6676,8,0,good
24-04-16,48,27121277.4,Finding Neverland,Lunt-Fontanne Theatre,612034,1476000,75.97,225,8056,1504,0.6695,8,0,good
10-09-17,16,23606589.82,The Play That Goes Wrong,Lyceum Theatre,307598.5,677688,67.25,197,4574,854,0.6695,8,0,good
11-12-16,29,31357485.42,Something Rotten!,St. James Theatre,686770,1388900,82.95,277,8279,1545,0.6699,8,0,good
10-04-16,46,26894099.17,Blackbird,Belasco Theatre,433038.36,892260,79.56,248,5443,1014,0.671,8,0,good
13-03-16,42,23719997.68,The Phantom of the Opera,Majestic Theatre,723465.52,1514575,83.98,200,8615,1605,0.671,8,0,good
17-12-17,30,34359420.67,The Play That Goes Wrong,Lyceum Theatre,382965.5,677688,83.49,213,4587,854,0.6714,8,0,good
04-12-16,28,29035901.85,The Phantom of the Opera,Majestic Theatre,798060.8,1493252,92.27,203,8649,1605,0.6736,8,0,good
04-09-16,15,23361024.99,Something Rotten!,St. James Theatre,634004.5,1372600,78.18,277,8110,1504,0.674,8,0,good
08-05-16,50,27579172.93,Blackbird,Belasco Theatre,408567,892260,74.69,248,5470,1014,0.6743,8,0,good
14-08-16,12,24414933.15,Something Rotten!,St. James Theatre,584022,1277720,80.68,277,7239,1341,0.6748,8,0,good
18-11-18,25,36501888.28,Waitress,Brooks Atkinson Theatre,540180,1019480,95.73,270,5643,1045,0.675,8,0,good
02-12-18,27,37805785.34,School of Rock - The Musical,Winter Garden Theatre,733386.9,1443688,89.06,223,8235,1523,0.6759,8,0,good
30-06-19,5,35938539.43,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,511449.02,994804,92.07,247,5555,1026,0.6768,8,0,good
02-09-18,14,32089527.57,The Play That Goes Wrong,Lyceum Theatre,306496.5,677688,66.27,197,4625,854,0.677,8,0,good
21-02-16,39,23951914.29,Blackbird,Belasco Theatre,417989,885060,76.03,248,5498,1014,0.6778,0,8,good
05-06-16,2,27019162.62,Finding Neverland,Lunt-Fontanne Theatre,592637,1476000,72.64,225,8158,1504,0.678,8,0,good
14-10-18,20,33387818.47,The Play That Goes Wrong,Lyceum Theatre,300431.5,677688,64.75,197,4640,854,0.6792,8,0,good
28-10-18,22,33133984.13,The Nap,Sam S. Shubert Theatre,174209.4,620439,49.8,199,3498,643,0.68,8,0,good
29-05-16,1,28706805.95,Something Rotten!,St. James Theatre,728530.8,1445220,80.32,277,9070,1667,0.6801,8,0,good
29-05-16,1,28706805.95,Finding Neverland,Lunt-Fontanne Theatre,619504,1476000,75.7,225,8184,1504,0.6802,8,0,good
07-05-17,50,32862919.91,School of Rock - The Musical,Winter Garden Theatre,702687.5,1445048,84.77,248,8289,1523,0.6803,8,0,good
05-11-17,24,27265631.87,School of Rock - The Musical,Winter Garden Theatre,707755.4,1445048,85.38,248,8289,1523,0.6803,8,0,good
11-02-18,38,22018577.15,The Phantom of the Opera,Majestic Theatre,729951.6,1356418,83.46,213,8746,1605,0.6812,8,0,good
28-10-18,22,33133984.13,School of Rock - The Musical,Winter Garden Theatre,702531.5,1443688,84.63,223,8301,1523,0.6813,8,0,good
26-06-16,5,28923675.96,Jersey Boys,Studio 54,590405.54,1151143,88.15,199,6698,1228,0.6818,8,0,good
03-03-19,40,27159271.45,Waitress,Brooks Atkinson Theatre,485749,1019480,85.13,270,5706,1045,0.6825,8,0,good
15-05-16,51,26269814.35,Blackbird,Belasco Theatre,424525,892260,76.62,248,5541,1014,0.6831,8,0,good
28-02-16,40,20011009.78,Blackbird,Belasco Theatre,399451.5,885060,72.04,248,5545,1014,0.6836,0,8,good
06-11-16,24,25378948.08,The Phantom of the Opera,Majestic Theatre,776358.11,1489388,88.39,203,8783,1605,0.684,8,0,good
25-12-16,31,30413711.35,Something Rotten!,St. James Theatre,662808.5,1198045,90.63,277,7313,1527,0.684,7,0,good
29-04-18,49,35335326.58,The Play That Goes Wrong,Lyceum Theatre,309854.62,677688,66.29,197,4674,854,0.6841,8,0,good
20-11-16,26,26762454.2,Something Rotten!,St. James Theatre,596493.8,1301440,78.88,277,7562,1382,0.6841,8,0,good
17-04-16,47,27177086.08,The Phantom of the Opera,Majestic Theatre,755681.6,1514575,85.94,200,8793,1605,0.6848,8,0,good
10-04-16,46,26894099.17,Something Rotten!,St. James Theatre,688616,1372600,83.5,277,8247,1504,0.6854,8,0,good
07-10-18,19,33381110.92,School of Rock - The Musical,Winter Garden Theatre,745372.4,1443688,89.22,223,8354,1523,0.6857,8,0,good
07-02-16,37,21024819.67,Something Rotten!,St. James Theatre,633021.12,1372600,76.7,277,8253,1504,0.6859,8,0,good
20-11-16,26,26762454.2,The Phantom of the Opera,Majestic Theatre,731274.33,1489388,82.92,203,8819,1605,0.6868,8,0,good
06-03-16,41,20679970.73,Blackbird,Belasco Theatre,365047.5,885060,65.49,248,5574,1014,0.6871,0,8,good
11-09-16,16,20154528.12,Jersey Boys,Studio 54,593985,1151143,87.91,199,6757,1228,0.6878,8,0,good
17-07-16,8,27125138.45,Finding Neverland,Lunt-Fontanne Theatre,617143.5,1476000,74.45,225,8289,1504,0.6889,8,0,good
15-04-18,47,37729078.44,The Play That Goes Wrong,Lyceum Theatre,314104.46,677688,66.66,197,4712,854,0.6897,8,0,good
21-02-16,39,23951914.29,The Phantom of the Opera,Majestic Theatre,729804.55,1514575,82.38,200,8859,1605,0.69,8,0,good
04-11-18,23,33078711.53,Waitress,Brooks Atkinson Theatre,535899,1019480,92.75,270,5778,1045,0.6911,8,0,good
09-12-18,28,40149570.28,The Play That Goes Wrong,Lyceum Theatre,310882.32,677688,65.82,197,4723,854,0.6913,8,0,good
03-06-18,1,37106954.31,The Play That Goes Wrong,Lyceum Theatre,312664,677688,66.19,197,4724,854,0.6915,8,0,good
21-10-18,21,34344692.7,The Nap,Sam S. Shubert Theatre,210366.2,646488,59.12,199,3558,643,0.6917,8,0,good
19-11-17,26,31147315.59,School of Rock - The Musical,Winter Garden Theatre,788656.82,1445048,93.48,248,8437,1523,0.6925,8,0,good
10-07-16,7,24862657.43,Something Rotten!,St. James Theatre,640453.5,1277720,86.13,277,7436,1341,0.6931,8,0,good
30-09-18,18,29521717.1,The Play That Goes Wrong,Lyceum Theatre,263008,677688,55.45,197,4743,854,0.6942,8,0,good
18-09-16,17,22174849.86,Something Rotten!,St. James Theatre,619407.5,1277720,83.18,277,7447,1341,0.6942,8,0,good
28-10-18,22,33133984.13,The Play That Goes Wrong,Lyceum Theatre,288334.5,677688,60.78,197,4744,854,0.6944,8,0,good
07-02-16,37,21024819.67,Matilda The Musical,Sam S. Shubert Theatre,546352.4,1318748,68.66,250,7957,1432,0.6946,8,0,good
06-03-16,41,20679970.73,Finding Neverland,Lunt-Fontanne Theatre,642636,1476000,76.79,225,8369,1504,0.6956,8,0,good
01-05-16,49,28331921.81,Something Rotten!,St. James Theatre,695800.19,1405200,78.73,252,8838,1586,0.6968,8,0,good
24-02-19,39,29863192.12,Waitress,Brooks Atkinson Theatre,547237,1019480,93.83,270,5832,1045,0.6976,8,0,good
15-05-16,51,26269814.35,Matilda The Musical,Sam S. Shubert Theatre,591874.32,1327753,74.01,250,7997,1432,0.6981,8,0,good
26-08-18,13,33662782.2,The Play That Goes Wrong,Lyceum Theatre,310523.5,677688,65.1,197,4770,854,0.6982,8,0,good
17-04-16,47,27177086.08,Something Rotten!,St. James Theatre,681402,1372600,81.1,277,8402,1504,0.6983,8,0,good
05-02-17,37,19874003.02,The Phantom of the Opera,Majestic Theatre,727527,1493252,81.03,203,8979,1605,0.6993,8,0,good
18-12-16,30,30541917.65,The Humans,Gerald Schoenfeld Theatre,461088,976376,79.59,297,5793,1035,0.6996,8,0,good
05-06-16,2,27019162.62,Blackbird,Belasco Theatre,413283.8,892260,72.76,248,5680,1014,0.7002,8,0,trending
03-04-16,45,29929437.71,Blackbird,Belasco Theatre,443328.5,892260,77.98,248,5685,1014,0.7008,8,0,trending
04-11-18,23,33078711.53,The Nap,Sam S. Shubert Theatre,176181.8,646488,48.8,199,3610,643,0.7018,8,0,trending
25-12-16,31,30413711.35,The Humans,Gerald Schoenfeld Theatre,422358.84,854329,83.06,297,5085,1035,0.7019,7,0,trending
28-08-16,14,21495765.02,Something Rotten!,St. James Theatre,552301.5,1277720,73.31,277,7534,1341,0.7023,8,0,trending
17-11-19,25,32819620.56,The Phantom of the Opera,Majestic Theatre,768232.9,1358986,85.14,213,9023,1605,0.7027,8,0,trending
03-03-19,40,27159271.45,Pretty Woman: The Musical,Nederlander Theatre,654780.5,1365328,99.71,275,6567,1168,0.7028,8,0,trending
22-01-17,35,21686611.83,The Phantom of the Opera,Majestic Theatre,747150.4,1493252,82.76,203,9028,1605,0.7031,8,0,trending
23-09-18,17,26309335.52,The Play That Goes Wrong,Lyceum Theatre,266179,677688,55.32,197,4812,854,0.7043,8,0,trending
13-05-18,51,38621280.34,The Play That Goes Wrong,Lyceum Theatre,314322.93,677688,65.21,197,4820,854,0.7055,8,0,trending
13-03-16,42,23719997.68,Finding Neverland,Lunt-Fontanne Theatre,659099,1476000,77.54,225,8500,1504,0.7064,8,0,trending
10-01-16,33,26330470.95,Misery,Broadhurst Theatre,668037.33,1247672,100.5,297,6647,1176,0.7065,8,0,trending
17-09-17,17,26613186.99,School of Rock - The Musical,Music Box Theatre,676955.21,1445048,78.62,248,8611,1523,0.7067,8,0,trending
16-09-18,16,28771784.4,The Play That Goes Wrong,Lyceum Theatre,296680.75,677688,61.44,197,4829,854,0.7068,8,0,trending
25-09-16,18,22165298.69,Matilda The Musical,Sam S. Shubert Theatre,574430.16,1209739,70.83,250,8110,1432,0.7079,8,0,trending
17-02-19,38,30511551.35,The Phantom of the Opera,Majestic Theatre,829262.1,1347562,91.19,213,9094,1605,0.7083,8,0,trending
07-05-17,50,32862919.91,The Play That Goes Wrong,Lyceum Theatre,348272.51,654168,71.93,197,4842,854,0.7087,8,0,trending
10-01-16,33,26330470.95,Finding Neverland,Lunt-Fontanne Theatre,720499,1476000,84.44,225,8533,1504,0.7092,8,0,trending
31-01-16,36,23617252.17,Something Rotten!,Majestic Theatre,702766.37,1388900,80.18,277,8765,1545,0.7093,8,0,trending
06-03-16,41,20679970.73,Something Rotten!,Majestic Theatre,632839,1372600,74.13,277,8537,1504,0.7095,8,0,trending
01-05-16,49,28331921.81,Blackbird,Belasco Theatre,417680,892260,72.56,248,5756,1014,0.7096,8,0,trending
10-12-17,29,35260250.63,The Play That Goes Wrong,Lyceum Theatre,401867.75,677688,82.88,213,4849,854,0.7097,8,0,trending
23-09-18,17,26309335.52,Waitress,Brooks Atkinson Theatre,552322,1019480,93.08,270,5934,1045,0.7098,8,0,trending
11-03-18,42,29425481.36,School of Rock - The Musical,Music Box Theatre,712808,1443688,82.39,248,8652,1523,0.7101,8,0,trending
07-02-16,37,21024819.67,Finding Neverland,Lunt-Fontanne Theatre,557234.5,1291500,74.53,225,7477,1504,0.7102,7,0,trending
26-06-16,5,28923675.96,Finding Neverland,Lunt-Fontanne Theatre,661493,1476000,77.41,225,8545,1504,0.7102,8,0,trending
05-02-17,37,19874003.02,School of Rock - The Musical,Music Box Theatre,706876.2,1528838,81.68,223,8654,1523,0.7103,8,0,trending
07-08-16,11,24062535.05,Finding Neverland,Lunt-Fontanne Theatre,620811.5,1476000,72.63,225,8548,1504,0.7104,8,0,trending
03-03-19,40,27159271.45,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,523597.39,1106908,89.78,247,5832,1026,0.7105,8,0,trending
21-02-16,39,23951914.29,Jersey Boys,Studio 54,607591,1151143,87,199,6984,1228,0.7109,8,0,trending
31-07-16,10,25496118,Something Rotten!,Majestic Theatre,640744.91,1277720,84.01,277,7627,1341,0.7109,8,0,trending
28-02-16,40,20011009.78,Something Rotten!,Majestic Theatre,582996.5,1325160,71.97,277,8100,1423,0.7118,8,0,trending
23-06-19,4,35987055.01,Pretty Woman: The Musical,Nederlander Theatre,612732,1365328,92.11,275,6652,1168,0.7119,8,0,trending
14-07-19,7,30566473.66,Waitress,Brooks Atkinson Theatre,449106.5,892045,86.22,270,5209,1045,0.7121,7,0,trending
03-12-17,28,29983150.22,School of Rock - The Musical,Music Box Theatre,844058.36,1445048,97.26,248,8678,1523,0.7122,8,0,trending
21-10-18,21,34344692.7,School of Rock - The Musical,Music Box Theatre,733818,1443688,84.44,223,8690,1523,0.7132,8,0,trending
14-02-16,38,25713384.94,The Phantom of the Opera,Majestic Theatre,779490.77,1514575,85.06,200,9164,1605,0.7137,8,0,trending
28-08-16,14,21495765.02,The Phantom of the Opera,Majestic Theatre,810486.13,1514575,88.43,200,9165,1605,0.7138,8,0,trending
07-07-19,6,34108642.97,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,442880.5,994804,75.59,247,5859,1026,0.7138,8,0,trending
31-07-16,10,25496118,Finding Neverland,Lunt-Fontanne Theatre,629899.5,1476000,73.3,225,8593,1504,0.7142,8,0,trending
25-09-16,18,22165298.69,School of Rock - The Musical,Music Box Theatre,706839.5,1523357,82.69,248,8548,1495,0.7147,8,0,trending
26-06-16,5,28923675.96,Something Rotten!,Majestic Theatre,712836.5,1325160,87.59,277,8138,1423,0.7151,8,0,trending
03-02-19,36,26512354.56,The Phantom of the Opera,Majestic Theatre,677387.84,1347562,73.73,213,9188,1605,0.7156,8,0,trending
24-07-16,9,26582154.47,Something Rotten!,Majestic Theatre,666347.14,1372600,77.37,277,8613,1504,0.7158,8,0,trending
04-12-16,28,29035901.85,Something Rotten!,Majestic Theatre,656688.5,1325160,80.61,277,8146,1423,0.7158,8,0,trending
29-10-17,23,28628692.39,School of Rock - The Musical,Music Box Theatre,780941.24,1445048,89.52,248,8724,1523,0.716,8,0,trending
24-04-16,48,27121277.4,The Phantom of the Opera,Majestic Theatre,761146.76,1514575,82.77,200,9196,1605,0.7162,8,0,trending
04-12-16,28,29035901.85,The Humans,Gerald Schoenfeld Theatre,508685.5,976376,85.69,297,5936,1035,0.7169,8,0,trending
07-07-19,6,34108642.97,Waitress,Brooks Atkinson Theatre,498571,1019480,83.14,270,5997,1045,0.7173,8,0,trending
23-06-19,4,35987055.01,Waitress,Brooks Atkinson Theatre,519144.5,1019480,86.54,270,5999,1045,0.7176,8,0,trending
03-06-18,1,37106954.31,Beautiful: The Carole King Musical,Stephen Sondheim Theatre,596943.04,1106908,101.35,247,5890,1026,0.7176,8,0,trending
